"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
1.662748751E0;2.052187653E2;3.399187622E2;1.139625015E2;4.130943697E2
1.672748751E0;2.049750061E2;3.399187622E2;1.140750046E2;4.130043882E2
1.682748751E0;2.051250153E2;3.399750061E2;1.140187531E2;4.131096134E2
1.692748751E0;2.051250153E2;3.399937744E2;1.138125076E2;4.130681850E2
1.702748751E0;2.049187622E2;3.400875244E2;1.138312531E2;4.130481540E2
1.712748751E0;2.049187622E2;3.400312500E2;1.137187576E2;4.129708294E2
1.722748751E0;2.048062592E2;3.398250122E2;1.137375031E2;4.127503632E2
1.732748751E0;2.043750153E2;3.399562683E2;1.138312531E2;4.126705289E2
1.742748751E0;2.044500122E2;3.399750061E2;1.137562561E2;4.127024328E2
1.752748751E0;2.045812531E2;3.398625183E2;1.138687515E2;4.127058432E2
1.762748751E0;2.044500122E2;3.399937744E2;1.137750015E2;4.127230610E2
1.772748751E0;2.045062561E2;3.398437500E2;1.137375031E2;4.126170171E2
1.782748751E0;2.046187592E2;3.399000244E2;1.137937546E2;4.127346384E2
1.792748751E0;2.046375122E2;3.398437500E2;1.137937546E2;4.126975944E2
1.802748751E0;2.046937561E2;3.398625183E2;1.138312531E2;4.127512802E2
1.812748751E0;2.050125122E2;3.399937744E2;1.137187576E2;4.129865042E2
1.822748751E0;2.051062622E2;3.397875061E2;1.137375031E2;4.128684387E2
1.832748751E0;2.049562531E2;3.397687683E2;1.135687561E2;4.127320486E2
1.842748751E0;2.048625031E2;3.395812683E2;1.135687561E2;4.125311447E2
1.852748751E0;2.048062592E2;3.397125244E2;1.139625015E2;4.127198260E2
1.862748751E0;2.048062592E2;3.396562500E2;1.138312531E2;4.126372815E2
1.872748751E0;2.049750061E2;3.394312744E2;1.140937576E2;4.126084448E2
1.882748751E0;2.050875092E2;3.395437622E2;1.139625015E2;4.127206133E2
1.892748751E0;2.050875092E2;3.392625122E2;1.140937576E2;4.125255436E2
1.902748751E0;2.047500153E2;3.392812500E2;1.142062531E2;4.124044175E2
1.912748751E0;2.049750061E2;3.392250061E2;1.142062531E2;4.124699094E2
1.922748751E0;2.049937592E2;3.392437744E2;1.141312561E2;4.124739063E2
1.932748751E0;2.049937592E2;3.395812683E2;1.138312531E2;4.126686725E2
1.942748751E0;2.049187622E2;3.396562500E2;1.139812546E2;4.127345317E2
1.952748751E0;2.047687531E2;3.397875061E2;1.137937546E2;4.127163797E2
1.962748751E0;2.045625153E2;3.398625183E2;1.137375031E2;4.126603611E2
1.972748751E0;2.045437622E2;3.401625061E2;1.134750061E2;4.128259418E2
1.982748751E0;2.047875061E2;3.402375183E2;1.133250046E2;4.129673694E2
1.992748751E0;2.047875061E2;3.403312683E2;1.136625061E2;4.131373381E2
2.002748751E0;2.047687531E2;3.401437683E2;1.137937546E2;4.130097383E2
2.012748751E0;2.049187622E2;3.399000244E2;1.140187531E2;4.129455191E2
2.022748751E0;2.052187653E2;3.396562500E2;1.138125076E2;4.128370098E2
2.032748751E0;2.053125153E2;3.396562500E2;1.137750015E2;4.128732833E2
2.042748751E0;2.053125153E2;3.395812683E2;1.140750046E2;4.128943853E2
2.052748751E0;2.054062653E2;3.395250244E2;1.144125061E2;4.129881325E2
2.062748751E0;2.051437531E2;3.397125244E2;1.145437546E2;4.130482180E2
2.072748751E0;2.051437531E2;3.399000244E2;1.142062531E2;4.131090101E2
2.082748751E0;2.052937622E2;3.401812744E2;1.142625046E2;4.134304636E2
2.092748751E0;2.052562561E2;3.401625061E2;1.142625046E2;4.133963972E2
